optimizer,epoch,epochs_total,progress_pct,precision,recall,map50,map50_95,val_loss,objective_score
AdamW,18,20,90.0,0.86175,0.91317,0.95134,0.73167,2.39675,0.368364
AdamW,19,20,95.0,0.87611,0.91393,0.95127,0.73786,2.3562200000000004,0.3751287999999999
AdamW,20,20,100.0,0.86906,0.93114,0.95619,0.7397,2.3271100000000002,0.3781633999999999
AdamW,21,20,105.0,0.8691113238648536,0.9310593558803121,0.956162024597666,0.7396874914893556,0.0,0.5177812440425489
MuSGD,1,20,5.0,0.5834,0.73138,0.68657,0.50427,3.28008,0.15618420000000002
MuSGD,2,20,10.0,0.6981,0.78815,0.79659,0.5866,3.0050499999999998,0.23031700000000002
MuSGD,3,20,15.0,0.70658,0.79232,0.83239,0.61067,2.94556,0.2507354
MuSGD,4,20,20.0,0.6923,0.78214,0.80635,0.60332,2.8936,0.24870799999999998
MuSGD,5,20,25.0,0.76416,0.84792,0.88085,0.65716,2.70014,0.2980035999999999
MuSGD,6,20,30.0,0.81433,0.87192,0.90741,0.6805,2.5994900000000003,0.3203805999999999
MuSGD,7,20,35.0,0.83329,0.88409,0.91293,0.68848,2.56564,0.3279976
MuSGD,8,20,40.0,0.81916,0.87412,0.91919,0.69876,2.54256,0.33657840000000006
MuSGD,9,20,45.0,0.80683,0.8929,0.92381,0.70227,2.5413799999999998,0.33910619999999997
MuSGD,10,20,50.0,0.86704,0.90745,0.94784,0.72426,2.43192,0.3610667999999999
MuSGD,11,20,55.0,0.84557,0.89253,0.92954,0.71139,2.47821,0.34928039999999994
MuSGD,12,20,60.0,0.84898,0.89585,0.93378,0.70811,2.4808399999999997,0.3468266
MuSGD,13,20,65.0,0.86404,0.92067,0.94728,0.72564,2.41966,0.3627684
MuSGD,14,20,70.0,0.88633,0.91553,0.95376,0.73468,2.37303,0.37189419999999995
MuSGD,15,20,75.0,0.89172,0.91115,0.95861,0.74013,2.36235,0.37634999999999996
MuSGD,16,20,80.0,0.88847,0.94383,0.96192,0.74753,2.32214,0.3839426
MuSGD,17,20,85.0,0.90004,0.91505,0.95536,0.74492,2.32567,0.3819038
MuSGD,18,20,90.0,0.92183,0.91545,0.96482,0.75113,2.28817,0.38850079999999987
MuSGD,19,20,95.0,0.89624,0.94499,0.96751,0.75889,2.2697900000000004,0.3950355999999999
MuSGD,20,20,100.0,0.92168,0.93007,0.96899,0.76267,2.2561400000000003,0.39850059999999987
MuSGD,21,20,105.0,0.9206568728810568,0.9302222745419222,0.968956906177008,0.7623900796169776,0.0,0.5336730557318843
